A6,J1,J2,J20,label,A3Ar_w_2,A3Ar_w_3,A3Ar_w_4,A3Ar_w_5,A3Ar_w_6,A50A_2,A4A_new_w_2,A9_2,A9_3,A9_4,A9_5,A9_6,A9_7,A9_8
4,10,7,1,debtor,False,False,False,False,True,False,False,False,False,False,False,False,False,True
1,99,99,99,spender,False,False,False,True,False,True,False,False,False,False,False,False,False,True
1,3,2,2,debtor,True,False,False,False,False,True,False,True,False,False,False,False,False,False
4,5,3,4,saver,False,False,False,False,True,True,False,False,False,False,False,False,False,True
1,10,7,1,debtor,False,False,False,False,True,False,False,False,False,False,False,False,False,True
4,5,1,2,spender,False,False,False,True,False,True,False,True,False,False,False,False,False,False
1,7,1,4,spender,False,True,False,False,False,True,False,False,False,True,False,False,False,False
1,10,4,2,saver,False,False,False,False,True,True,False,False,False,False,False,False,False,True
4,3,7,3,spender,False,False,True,False,False,False,False,True,False,False,False,False,False,False
4,10,1,1,spender,False,False,False,False,True,True,False,False,False,False,False,False,False,True
2,1,1,4,spender,False,False,False,False,True,True,False,False,False,True,False,False,False,False
1,3,1,2,debtor,False,False,False,True,False,True,True,False,False,False,False,False,False,False
1,8,6,1,saver,False,False,False,True,False,True,False,True,False,False,False,False,False,False
4,3,6,1,saver,False,False,False,False,True,True,False,True,False,False,False,False,False,False
1,10,9,2,debtor,False,True,False,False,False,True,False,True,False,False,False,False,False,False
1,8,6,2,saver,False,False,False,True,False,True,False,False,False,True,False,False,False,False
1,10,2,1,debtor,False,False,False,False,True,False,False,False,False,False,False,False,False,True
1,6,5,3,spender,False,False,False,True,False,True,False,True,False,False,False,False,False,False
2,9,10,2,debtor,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2,1,5,3,spender,False,False,True,False,False,True,True,False,False,False,False,False,True,False
2,7,7,1,debtor,False,False,True,False,False,True,False,True,False,False,False,False,False,False
1,4,2,1,debtor,False,False,True,False,False,True,False,True,False,False,False,False,False,False
1,7,5,1,spender,False,False,False,False,True,False,False,False,False,False,False,False,False,True
4,8,1,1,spender,False,False,False,False,True,True,False,False,False,False,False,False,False,True
2,5,3,4,spender,False,False,False,True,False,True,False,True,False,False,False,False,False,False
2,8,5,2,debtor,False,True,False,False,False,False,True,False,True,False,False,False,False,False
2,8,5,98,spender,False,True,False,False,False,False,False,False,False,True,False,False,False,False
4,1,3,4,spender,False,False,False,True,False,True,False,False,True,False,False,False,False,False
1,7,7,1,debtor,False,True,False,False,False,True,True,False,False,False,False,False,False,False
1,8,3,2,spender,False,False,False,False,True,True,False,False,False,False,False,False,False,True
1,4,6,1,saver,False,False,False,True,False,True,True,True,False,False,False,False,False,False
1,3,3,3,spender,False,True,False,False,False,True,False,False,False,False,False,True,False,False
4,5,1,1,debtor,False,False,False,False,True,True,False,False,False,False,False,False,False,True
1,1,3,2,spender,False,False,True,False,False,True,False,False,False,True,False,False,False,False
4,5,1,1,saver,False,False,False,False,True,False,False,False,False,False,False,False,False,False
1,7,7,1,debtor,False,False,False,True,False,False,False,False,False,False,False,False,False,True
1,9,5,1,debtor,False,False,False,False,True,False,False,False,False,False,False,False,False,True
1,4,7,2,saver,False,False,False,True,False,False,False,False,False,False,False,True,False,False
1,10,1,1,debtor,False,False,False,False,True,True,False,False,False,False,False,False,False,True
1,9,10,1,spender,False,True,False,False,False,False,False,True,False,False,False,False,False,False
5,8,1,1,spender,False,False,False,False,True,True,False,False,False,False,False,False,False,True
4,7,6,2,saver,False,False,True,False,False,True,False,True,False,False,False,False,False,False
5,9,4,1,debtor,False,False,False,False,True,True,False,False,False,False,False,False,False,True
1,9,9,1,debtor,False,True,False,False,False,False,False,True,False,False,False,False,False,False
1,4,3,1,spender,False,False,True,False,False,True,False,False,True,False,False,False,False,False
1,10,10,1,spender,False,True,False,False,False,False,False,False,False,False,False,False,False,False
1,7,6,2,saver,False,True,False,False,False,True,False,False,False,False,False,False,False,False
2,1,7,4,saver,False,True,False,False,False,True,False,True,False,False,False,False,False,False
4,1,4,4,spender,False,False,False,True,False,True,True,False,False,False,False,False,True,False
2,8,6,1,spender,False,False,False,True,False,False,False,False,True,False,False,False,False,False
1,7,5,2,saver,False,False,True,False,False,True,False,True,False,False,False,False,False,False
4,10,8,1,debtor,False,False,False,True,False,True,True,True,False,False,False,False,False,False
1,8,6,2,debtor,False,False,True,False,False,True,False,False,False,False,False,False,False,False
4,5,1,1,debtor,False,False,False,False,True,True,False,False,False,False,False,False,False,True
5,10,10,1,debtor,False,False,False,False,True,True,False,False,False,False,False,False,False,True
2,10,10,4,spender,False,False,True,False,False,True,False,False,False,False,False,True,False,False
1,8,7,2,saver,False,True,False,False,False,True,False,False,False,False,False,False,True,False
1,4,2,2,spender,False,False,False,False,True,True,False,False,False,False,False,False,False,True
1,3,1,1,saver,False,True,False,False,False,True,False,False,False,True,False,False,False,False
1,7,6,2,debtor,False,False,True,False,False,True,False,False,True,False,False,False,False,False
4,6,1,98,spender,False,False,False,True,False,True,False,True,False,False,False,False,False,False
1,8,6,1,spender,False,False,False,False,True,True,False,False,False,False,False,False,False,True
1,9,9,1,spender,False,True,False,False,False,False,False,True,False,False,False,False,False,False
2,1,1,4,spender,False,True,False,False,False,True,True,False,False,False,False,True,False,False
1,10,2,1,debtor,False,False,False,False,True,False,False,False,False,False,False,False,False,True
1,10,8,1,debtor,False,False,False,False,True,False,False,False,False,False,False,False,False,True
1,8,1,1,spender,False,False,False,False,True,False,False,False,False,False,False,False,False,True
1,4,1,2,debtor,False,False,False,False,True,True,False,False,False,False,False,False,False,True
1,8,3,1,debtor,False,False,False,False,True,False,False,False,False,False,False,False,False,True
2,8,4,1,debtor,False,False,False,True,False,False,False,False,False,False,False,False,False,False
1,10,1,1,saver,False,False,False,False,True,False,False,False,False,False,False,False,False,True
4,2,3,4,spender,False,False,True,False,False,True,False,False,False,False,False,False,True,False
1,10,10,1,debtor,False,False,True,False,False,True,True,True,False,False,False,False,False,False
2,1,98,98,spender,True,False,False,False,False,True,False,False,False,True,False,False,False,False
1,8,1,1,saver,False,False,False,True,False,True,False,True,False,False,False,False,False,False
1,5,5,4,spender,False,True,False,False,False,True,False,False,False,False,False,False,True,False
4,8,8,4,spender,False,False,False,True,False,True,False,False,False,False,False,False,False,True
4,98,98,1,spender,True,False,False,False,False,True,True,False,False,False,False,False,False,False
2,8,1,1,debtor,False,False,False,False,True,True,False,False,False,False,False,False,False,True
4,5,5,4,spender,False,True,False,False,False,True,True,True,False,False,False,False,False,False
2,6,6,2,saver,False,False,False,False,True,False,True,False,False,False,False,False,False,True
1,7,8,1,spender,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2,1,1,4,spender,True,False,False,False,False,True,True,False,False,False,False,True,False,False
2,4,3,4,saver,False,False,True,False,False,True,False,True,False,False,False,False,False,False
2,7,7,1,saver,False,True,False,False,False,False,False,False,False,False,False,False,False,False
4,1,1,4,spender,False,False,False,False,True,True,False,False,False,False,False,False,True,False
1,9,1,1,debtor,False,False,False,False,True,False,False,False,False,False,False,False,False,True
4,5,5,2,saver,False,False,False,False,True,False,False,False,False,False,False,False,False,True
1,8,5,2,spender,False,False,False,False,True,False,False,False,False,False,False,False,False,False
4,9,7,3,spender,False,True,False,False,False,False,False,True,False,False,False,False,False,False
1,5,4,1,spender,False,False,False,False,True,True,False,False,False,False,False,False,False,True
1,10,8,1,debtor,False,False,False,False,True,False,False,False,False,False,False,False,False,True
1,8,4,1,debtor,False,False,False,False,True,False,False,False,False,False,False,False,False,True
2,7,5,1,saver,True,False,False,False,False,False,False,True,False,False,False,False,False,False
4,9,4,1,debtor,False,False,False,False,True,True,False,False,False,False,False,False,False,True
1,10,8,1,debtor,False,False,False,False,True,True,False,False,True,False,False,False,False,False
4,8,3,1,debtor,False,False,False,False,True,True,True,False,False,False,False,False,False,True
4,10,5,1,spender,False,False,False,False,True,True,False,True,False,False,False,False,False,False
5,9,1,1,spender,False,False,False,True,False,False,False,False,False,False,False,False,False,True
1,6,5,1,spender,False,False,False,False,True,False,False,False,True,False,False,False,False,False
1,8,1,1,debtor,False,False,False,False,True,True,False,False,False,False,False,False,False,True
2,10,2,2,saver,True,False,False,False,False,False,False,False,False,False,False,False,True,False
2,9,4,1,debtor,False,False,False,False,True,False,False,False,False,False,False,False,False,True
1,8,1,1,debtor,False,False,False,True,False,True,False,False,False,False,False,False,False,True
5,9,2,1,debtor,False,False,False,False,True,True,False,False,False,False,False,False,False,True
1,9,6,1,debtor,False,False,False,False,True,True,False,False,True,False,False,False,False,False
1,4,1,3,spender,True,False,False,False,False,True,False,False,False,True,False,False,False,False
1,5,4,1,spender,False,False,True,False,False,True,False,False,False,False,False,False,False,False
